free  energy   TOTEN,energy  without entropy,energy(sigma->0),kin. lattice  EKIN_LAT,nose potential ES,nose kinetic   EPS,total energy   ETOTAL,(temperature
-912.30891039,-912.34483601,-912.3208856,0.0,-9.225468,0.463977,-917.027868,292.28
-912.20103142,-912.23659678,-912.21288654,0.0,-8.971263,0.353452,-917.028233,274.07
-912.11104164,-912.14553614,-912.1225398,0.0,-8.752902,0.251286,-917.028595,259.13
-912.03895408,-912.0726764,-912.05019485,0.0,-8.572759,0.162191,-917.02889,247.32
-911.98476345,-912.01745326,-911.99566005,0.0,-8.432712,0.09004,-917.029116,238.47
-911.94860979,-911.97867391,-911.95863117,0.0,-8.334168,0.037813,-917.02938,232.49
-911.93013156,-911.95922346,-911.93982886,0.0,-8.278078,0.007573,-917.029451,229.28
-911.92921062,-911.95703588,-911.93848571,0.0,-8.264952,0.000447,-917.029524,228.78
-911.94533205,-911.97292336,-911.95452915,0.0,-8.294872,0.016639,-917.029479,230.94
-911.98228854,-912.00350441,-911.98936049,0.0,-8.367493,0.055433,-917.033176,235.79
-912.0276405,-912.05441012,-912.03656371,0.0,-8.482045,0.115203,-917.028872,243.34
-912.09256395,-912.11980024,-912.10164271,0.0,-8.637328,0.193461,-917.028584,253.62
-912.17160343,-912.20095156,-912.18138614,0.0,-8.831707,0.28688,-917.027343,266.73
-912.26830936,-912.29458929,-912.27706934,0.0,-9.0631,0.391357,-917.02921,282.76
-912.37616784,-912.40309178,-912.38514249,0.0,-9.328957,0.502067,-917.028674,301.82
-912.49542605,-912.52438051,-912.50507754,0.0,-9.62625,0.613625,-917.027226,323.97
-912.62301606,-912.6580132,-912.63468177,0.0,-9.951458,0.72021,-917.022897,349.32
-912.76722949,-912.7998817,-912.77811356,0.0,-10.300554,0.815795,-917.025218,377.91
-912.91975223,-912.95047909,-912.92999452,0.0,-10.668993,0.894396,-917.027386,409.73
-913.05343905,-913.10248027,-913.06978612,0.0,-11.051718,0.950446,-917.004182,444.69
-913.24396339,-913.27411031,-913.25401236,0.0,-11.443175,0.979189,-917.033104,482.6
-913.40199855,-913.43513424,-913.41304378,0.0,-11.83734,0.97714,-917.027196,523.1
-913.56386718,-913.60014222,-913.57595886,0.0,-12.227782,0.94255,-917.024968,565.7
-913.71414671,-913.76268092,-913.73032478,0.0,-12.607734,0.875842,-917.013198,609.71
-913.88528606,-913.92007277,-913.89688163,0.0,-12.970207,0.779929,-917.027274,654.21
-914.03818316,-914.07033677,-914.04890103,0.0,-13.308137,0.660476,-917.031173,698.05
-914.17363059,-914.21221861,-914.18649326,0.0,-13.614563,0.525685,-917.027464,740.01
-914.30449007,-914.33710069,-914.31536028,0.0,-13.882824,0.385861,-917.031229,778.71
